week,country,temperature,rainfall,humidity,sanitation_score,resistance_gene_score,git_infection_cases,amr_cases
2022-01-01,Rwanda,26.64,16.03,82.57,0.22,0.97,57,38
2022-01-08,Rwanda,21.58,33.13,69.87,0.72,0.08,56,8
2022-01-15,Rwanda,27.38,13.48,70.07,0.09,0.64,51,24
2022-01-22,Rwanda,25.55,25.24,54.19,0.9,0.88,52,32
2022-01-29,Rwanda,21.01,22.64,82.51,0.96,0.89,39,24
2022-02-05,Rwanda,20.62,26.35,83.83,0.86,0.24,55,13
2022-02-12,Rwanda,19.54,30.6,71.04,0.05,0.91,73,47
2022-02-19,Rwanda,28.23,32.58,69.48,0.88,0.13,53,9
2022-02-26,Rwanda,27.76,14.84,80.63,0.14,0.67,60,30
2022-03-05,Rwanda,22.56,103.41,63.46,0.84,0.47,39,14
2022-03-12,Rwanda,22.81,52.4,86.95,0.51,0.81,57,33
2022-03-19,Rwanda,26.69,12.26,52.52,0.36,0.75,50,27
2022-03-26,Rwanda,28.27,28.25,59.46,0.07,0.74,78,42
2022-04-02,Rwanda,24.58,14.21,74.08,0.22,0.94,51,33
2022-04-09,Rwanda,24.99,46.65,60.81,0.38,0.77,55,30
2022-04-16,Rwanda,23.8,40.23,63.43,0.17,0.33,48,14
2022-04-23,Rwanda,23.75,42.08,83.15,0.53,0.25,46,11
2022-04-30,Rwanda,32.18,41.8,68.65,0.14,0.23,56,13
2022-05-07,Rwanda,25.9,39.46,80.87,0.01,0.21,57,12
2022-05-14,Rwanda,22.46,13.6,60.57,0.09,0.86,50,30
2022-05-21,Rwanda,20.57,24.72,69.98,0.89,0.47,59,22
2022-05-28,Rwanda,25.39,7.29,55.71,0.59,0.3,67,18
2022-06-04,Rwanda,25.85,14.78,67.57,0.81,0.44,63,23
2022-06-11,Rwanda,24.77,25.92,61.4,0.72,0.06,57,7
2022-06-18,Rwanda,20.95,18.58,57.05,0.68,0.01,64,6
2022-06-25,Rwanda,23.62,27.94,78.76,0.09,0.36,61,19
2022-07-02,Rwanda,23.41,22.74,84.52,0.79,0.09,53,8
