week,country,district,pathogen,cases,amr_abundance
2023-01-01,Rwanda,Kigali,Cholera,5,2.4
2023-01-01,Rwanda,Kigali,E. coli,4,5.85
2023-01-01,Rwanda,Kigali,Salmonella,4,0.0
2023-01-01,Rwanda,Kigali,Shigella,6,0.0
2023-01-01,Rwanda,Kigali,Rotavirus,5,0.0
2023-01-08,Rwanda,Kigali,Cholera,4,10.06
2023-01-08,Rwanda,Kigali,E. coli,10,1.42
2023-01-08,Rwanda,Kigali,Salmonella,6,0.0
2023-01-08,Rwanda,Kigali,Shigella,4,5.95
2023-01-08,Rwanda,Kigali,Rotavirus,6,5.86
2023-01-15,Rwanda,Kigali,Cholera,12,2.84
2023-01-15,Rwanda,Kigali,E. coli,8,0.1
2023-01-15,Rwanda,Kigali,Salmonella,12,3.88
2023-01-15,Rwanda,Kigali,Shigella,4,2.11
2023-01-15,Rwanda,Kigali,Rotavirus,11,0.0
2023-01-22,Rwanda,Kigali,Cholera,8,1.62
2023-01-22,Rwanda,Kigali,E. coli,12,0.0
2023-01-22,Rwanda,Kigali,Salmonella,12,9.32
2023-01-22,Rwanda,Kigali,Shigella,8,10.13
2023-01-22,Rwanda,Kigali,Rotavirus,7,5.77
2023-01-29,Rwanda,Kigali,Cholera,14,0.86
2023-01-29,Rwanda,Kigali,E. coli,17,0.0
2023-01-29,Rwanda,Kigali,Salmonella,16,1.58
2023-01-29,Rwanda,Kigali,Shigella,13,1.57
2023-01-29,Rwanda,Kigali,Rotavirus,13,3.73
2023-02-05,Rwanda,Kigali,Cholera,15,7.24
2023-02-05,Rwanda,Kigali,E. coli,14,6.47
2023-02-05,Rwanda,Kigali,Salmonella,10,0.0
2023-02-05,Rwanda,Kigali,Shigella,15,0.0
2023-02-05,Rwanda,Kigali,Rotavirus,12,3.13
2023-02-12,Rwanda,Kigali,Cholera,21,17.87
2023-02-12,Rwanda,Kigali,E. coli,15,3.47
2023-02-12,Rwanda,Kigali,Salmonella,12,1.78
2023-02-12,Rwanda,Kigali,Shigella,20,7.7
2023-02-12,Rwanda,Kigali,Rotavirus,20,7.55
2023-02-19,Rwanda,Kigali,Cholera,19,4.26
2023-02-19,Rwanda,Kigali,E. coli,11,6.56
2023-02-19,Rwanda,Kigali,Salmonella,19,9.13
2023-02-19,Rwanda,Kigali,Shigella,16,9.85
2023-02-19,Rwanda,Kigali,Rotavirus,14,7.74
2023-02-26,Rwanda,Kigali,Cholera,18,0.0
2023-02-26,Rwanda,Kigali,E. coli,18,5.39
2023-02-26,Rwanda,Kigali,Salmonella,22,12.2
2023-02-26,Rwanda,Kigali,Shigella,13,3.24
2023-02-26,Rwanda,Kigali,Rotavirus,18,3.68
2023-03-05,Rwanda,Kigali,Cholera,16,5.41
2023-03-05,Rwanda,Kigali,E. coli,17,0.0
2023-03-05,Rwanda,Kigali,Salmonella,13,10.91
2023-03-05,Rwanda,Kigali,Shigella,19,5.69
2023-03-05,Rwanda,Kigali,Rotavirus,20,12.26
2023-03-12,Rwanda,Kigali,Cholera,17,2.21
2023-03-12,Rwanda,Kigali,E. coli,12,11.76
2023-03-12,Rwanda,Kigali,Salmonella,14,10.52
2023-03-12,Rwanda,Kigali,Shigella,9,8.42
2023-03-12,Rwanda,Kigali,Rotavirus,19,2.79
2023-03-19,Rwanda,Kigali,Cholera,20,4.3
2023-03-19,Rwanda,Kigali,E. coli,19,6.0
2023-03-19,Rwanda,Kigali,Salmonella,26,4.66
2023-03-19,Rwanda,Kigali,Shigella,13,0.17
2023-03-19,Rwanda,Kigali,Rotavirus,17,4.44
2023-03-26,Rwanda,Kigali,Cholera,24,9.56
2023-03-26,Rwanda,Kigali,E. coli,26,12.46
2023-03-26,Rwanda,Kigali,Salmonella,17,0.0
2023-03-26,Rwanda,Kigali,Shigella,24,0.0
2023-03-26,Rwanda,Kigali,Rotavirus,25,2.96
2023-04-02,Rwanda,Kigali,Cholera,27,6.71
2023-04-02,Rwanda,Kigali,E. coli,18,2.24
2023-04-02,Rwanda,Kigali,Salmonella,21,1.13
2023-04-02,Rwanda,Kigali,Shigella,17,7.25
2023-04-02,Rwanda,Kigali,Rotavirus,24,8.14
2023-04-09,Rwanda,Kigali,Cholera,11,0.65
2023-04-09,Rwanda,Kigali,E. coli,14,6.82
2023-04-09,Rwanda,Kigali,Salmonella,21,2.03
2023-04-09,Rwanda,Kigali,Shigella,47,10.42
2023-04-09,Rwanda,Kigali,Rotavirus,21,0.0
2023-04-16,Rwanda,Kigali,Cholera,22,2.64
2023-04-16,Rwanda,Kigali,E. coli,19,11.75
2023-04-16,Rwanda,Kigali,Salmonella,23,6.96
2023-04-16,Rwanda,Kigali,Shigella,22,0.17
2023-04-16,Rwanda,Kigali,Rotavirus,20,3.77
2023-04-23,Rwanda,Kigali,Cholera,17,2.56
2023-04-23,Rwanda,Kigali,E. coli,22,5.83
2023-04-23,Rwanda,Kigali,Salmonella,56,15.56
2023-04-23,Rwanda,Kigali,Shigella,36,8.12
2023-04-23,Rwanda,Kigali,Rotavirus,18,5.91
2023-04-30,Rwanda,Kigali,Cholera,17,0.0
2023-04-30,Rwanda,Kigali,E. coli,16,11.84
2023-04-30,Rwanda,Kigali,Salmonella,15,0.0
2023-04-30,Rwanda,Kigali,Shigella,27,6.11
